word,meaning,partOfSpeech,phonetic
"menace","/n.有危险性的人(或物)；威胁，威吓","vt.","/'menəs/"
"mend","""""v.修理,缝补;改正,改进""""","","/mend/"
"mental","""""a.精神的,思想的,心理的,智力的,脑力的""""","","/'mentəl/"
"mention","""""v./n.提及,说起""""","","/'menʃən/"
"merchant","""""n.商人,零售商""""","","/'mə:tʃənt/"
"mercury","""""n.水银,汞""""","","/'mə:kjuri/"
"mercy","""""n.仁慈,怜悯,宽恕""""","","/'mə:si/"
"mere","""""a.纯粹的;仅仅,只不过""""","","/miə/"
"merely","仅仅，只不过","adv.","/'miəli/"
"merge","(使)结合，(使)合并，(使)合为一体","v.","/mə:dʒ/"
"merit","""""n.优点,价值,功绩 v.值得,应得""""","","/'merit/"
"merry","""""a.欢乐的,愉快的""""","","/'meri/"
"mess","""""n.混乱,混杂,脏乱 v.弄脏,弄乱,搞糟""""","","/mes/"
"message","""""n.消息,信息,通讯,启示,教训,广告词,预言""""","","/'mesidʒ/"
"messenger","""""n.送信者,使者,传令兵""""","","/'mesindʒə/"
"metal","""""n.金属,金属制品""""","","/'metəl/"
"metaphor","隐喻，暗喻","n.","/'metəfə/"
"method","""""n.方法,办法""""","","/'meθəd/"
"metre","(meter)米，公尺；仪表，计量器","n.","/'mi:tə/"
"metric","""""a.米制的,公制的""""","","/'metrik/"
"microphone","""""n.话筒,扩音器""""","","/'maikrəfəun/"
"microscope","显微镜","n.","/'maikrəskəup/"
"middle","""""n./a.中间(的),当中(的)""""","","/'midl/"
"midst","""""n.中间,当中""""","","/midst/"
"might","""""aux.v.可能,也许 n.力量,威力,权力""""","","/mait/"
"mild","""""a.温和的,轻微的,味淡的,不含有害物质的的""""","","/maild/"
"mile","英里，哩，海里","n.","/mail/"
"militant","好战的，富于战斗性的 n.斗士","a.","/'militənt/"
"military","""""a.军事的,军用的,军队的""""","","/'militəri/"
"milk","牛奶；(植物流出的)白色乳液 v.挤奶","n.","/milk/"
"mill","""""n.磨粉机,磨坊;作坊,工厂""""","","/mil/"
"million","""""num./n.百万,百万个""""","","/'miljən/"
"mind","""""n.精神,理智,意见,记忆力v.注意,介意,反对""""","","/maind/"
"mine","(I的物主代词)我的(东西)n.矿 v.采矿","pron.","/main/"
"mineral","""""n.矿物,矿石 a.矿物的,矿质的""""","","/'minərəl/"
"mingle","(使)混合","v.","/'miŋɡl/"
"miniature","""""n.缩小的模型,缩图 a.微型的,缩小的""""","","/'miniətʃə/"
"minimize","""""v.(minimize)使减少到最少,使降到最低""""","","/'minimaiz/"
"minimum","""""n.最小值,最低限度 a.最小的,最低的""""","","/'miniməm/"
"minister","""""n.部长,大臣""""","","/'ministə/"
"ministry","(政府的)部;牧师","n.","/'ministri/"
"minor","""""a.较小的,较小的 n.兼修学科 v.(in)兼修""""","","/'mainə/"
"minus","""""a.负的,减的 prep.减去 n.负号,减号""""","","/'mainəs/"
"minute","""""n.分钟,片刻;(pl.)会议记录 a.微小的""""","","/'minit/"
"miracle","""""n.奇迹,令人惊奇的人(或事)""""","","/'mirəkl/"
"mirror","""""n.镜子;反映,反射 v.反映,反射""""","","/'mirə/"
"mischief","""""n.损害,伤害,危害;恶作剧,胡闹;灾祸""""","","/'mistʃif/"
"miserable","""""a.痛苦的,悲惨的""""","","/'mizərəbl/"
"misery","""""n.痛苦,悲惨,不幸""""","","/'mizəri/"
"misfortune","""""n.不幸,灾祸,灾难""""","","/mis'fɔ:tʃən/"
"miss","""""n.小姐 v. 思念,未击中,错过,漏掉,逃脱""""","","/mis/"
"missing","""""a.漏掉的,失去的,失踪的""""","","/'misiŋ/"
"mission","""""n.使命,任务;使团,代表团""""","","/'miʃən/"
"missionary","教会的，传教(士)的 n.传教士","a.","/'miʃənəri/"
"mist","""""n.薄雾,霭""""","","/mist/"
"mistake","""""n.错误,过失,误解 v.弄错;(for)把…误认为""""","","/mi'steik/"
"mistress","""""n.女主人;主妇;情妇,情人""""","","/'mistris/"
"mix","使混合;混淆","v.","/miks/"
"mixture","""""n.混合;混合物,混合剂""""","","/'mikstʃə/"
"moan","""""n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹""""","","/məun/"
"mob","乌合之众(尤指暴力者) vi.围攻，聚众闹事","n.","/mɔb/"
"mobile","""""a.可动的,活动的,运动的""""","","/'məubail/"
"mobilize","""""v.(mobilise)动员,赋予可动性""""","","/'məubilaiz/"
"mock","""""v.嘲笑 a.假的,模拟的 n.(常pl.)模拟考试""""","","/mɔk/"
"mode","""""n.方式,式样""""","","/məud/"
"model","""""n.样式,型;模范;模型,原型;模特 v.模仿""""","","/'mɔdəl/"
"modern","""""a.现代的,近代的,新式的""""","","/'mɔdən/"
"modest","""""a.谦虚的,有节制的""""","","/'mɔdist/"
"modify","""""v.更改,修改,修饰""""","","/'mɔdifai/"
"moist","""""a.潮湿的,湿润的,多雨的""""","","/mɔist/"
"moisture","""""n.潮湿,湿气,湿度""""","","/'mɔistʃə/"
"molecule","分子","n.","/'mɔlikjul/"
"moment","""""n.片刻,瞬间,时刻""""","","/'məumənt/"
"momentum","""""n.动力,要素""""","","/məu'mentəm/"
"monetary","""""a.金融的,货币的""""","","/'mʌnitəri/"
"money","""""n.货币,钱""""","","/'mʌni/"
"monitor","""""n.班长;监听器,监视器 v.监控,监测""""","","/'mɔnitə/"
"monkey","猴子","n.","/'mʌŋki/"
"monopoly","""""n.垄断,专卖,专利权,专利事业""""","","/mə'nɔpəli/"
"monotonous","""""a.单调的,无变化的""""","","/mə'nɔtənəs/"
"monster","""""n.怪物,妖怪,畸形的动植物""""","","/'mɔnstə/"
"month","""""n.月,月份""""","","/mʌnθ/"
"monthly","""""a.每月的 ad.每月一次,按月 n.月刊""""","","/'mʌnθli/"
"monument","""""n.纪念碑,纪念馆,遗迹,不朽的业绩""""","","/'mɔnjumənt/"
"mood","""""n.心情,情绪;语气""""","","/mu:d/"
"moon","(加the)月球，月亮；卫星","n.","/mu:n/"
"more","更多的 n.更多的人(或东西) ad.更，更多","a.","/mɔ:/"
"moreover","""""conj./ad.再者,加之,而且""""","","/mɔ:'rəuvə/"
"morning","早晨，上午","n.","/'mɔ:niŋ/"
"mortal","致命的;终有一死的;人世间的 n.凡人","a.","/'mɔ:təl/"
"mortgage","/v.抵押(借款)","n.","/'mɔ:ɡidʒ/"
"mosaic","马赛克;镶嵌体","n.","/məu'zeiik/"
"mosquito","蚊子","n.","/mə'ski:təu/"
"moss","""""n.苔,藓,地衣""""","","/mɔs/"
"most","最多的；大多数的 ad.最；极其 n.大多数","a.","/məust/"
"mostly","""""ad.几乎全部地;主要地,大部分,基本上""""","","/'məustli/"
"motel","(附有停车场的)汽车旅馆","n.","/məu'tel/"
"mother","母亲","n.","/'mʌðə/"
"motion","""""n.运动,动;提议,动议 v.提议,动议""""","","/'məuʃən/"
"motivate","促动；激励，鼓励，作为…的动机","vt.","/'məutiveit/"
"motive","""""n.动机,目的 a.发动的,运动的""""","","/'məutiv/"
"motor","""""n.发动机,电动机""""","","/'məutə/"
"mould","(mold)模子，铸型 v.浇铸，造型，塑造","n.","/məuld/"
"mount","""""v.登上;安装n.支架,底板;(用于山名前)山峰""""","","/maunt/"
"mountain","山","n.","/'mauntin/"
"mouth","""""n.口,嘴""""","","/mauθ/"
"move","""""v.移动,迁移;活动;感动 n.移动,活动,行动""""","","/mu:v/"
"movement","""""n.运动,活动;移动,迁移""""","","/'mu:vmənt/"
"movie","""""n.电影,电影院""""","","/'mu:vi/"
"much","多的，大量的 ad.十分，非常；到极大程度","a.","/mʌtʃ/"
"mud","泥，泥浆 v.弄脏，使沾污泥","n.","/mʌd/"
"mug","(有柄的)大茶杯","n.","/mʌɡ/"
"multiple","""""a.多样的,多重的 n.倍数 v.成倍增加""""","","/'mʌltipl/"
"multiply","""""v.(by)乘,使相乘;倍增,增加,繁殖""""","","/'mʌltiplai/"
"municipal","""""a.市(立,政)的;地方性的,地方自治的""""","","/mju:'nisipəl/"
"murder","""""v./n.谋杀,凶杀""""","","/'mə:də/"
"murmur","""""v./n.小声说(话);小声抱怨,咕哝""""","","/'mə:mə/"
"muscle","""""n.肌肉,体力""""","","/'mʌsl/"
"muscular","肌肉的;肌肉发达的;强健的","a.","/'mʌskjulə/"
"museum","""""n.博物馆,展览馆""""","","/mju:'ziəm/"
"music","音乐，乐曲，乐谱","n.","/'mju:zik/"
"musical","音乐的;有音乐才能的 n.音乐片","a.","/'mju:zikəl/"
"musician","""""n.音乐家,乐师""""","","/mju:'ziʃən/"
"must","必须；很可能；一定要 n.必须做的事","aux.&v.","/mʌst/"
"mute","""""a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音""""","","/mju:t/"
"mutter","""""n.喃喃而语,小声低语;抱怨 v.低声说,抱怨""""","","/'mʌtə/"
"mutton","羊肉","n.","/'mʌtən/"
"myself","[反身代词]我自己；我亲自","pron.","/mai'self/"
"mysterious","""""a.神秘的,可疑的,难理解的""""","","/mi'stiəriəs/"
"mystery","""""n.神秘,神秘的事物;神秘小说,侦探小说""""","","/'mistəri/"
"myth","神话;虚构的理论","n.","/miθ/"
"nail","""""n.指甲,爪;钉 v.将…钉牢,钉住""""","","/neil/"
"naked","""""a.裸体的,无遮敝的,无掩饰的""""","","/'neikid/"
"name","名字(称/声/义) vt.给…取名；列举；提名","n.","/neim/"
"namely","""""ad.即,也就是""""","","/'neimli/"
"nap","""""n.小睡,打盹""""","","/næp/"
"napkin","""""n.餐巾,餐巾纸,<英>尿布""""","","/'næpkin/"
"narrative","叙述性的 n.叙述","a.","/'nærətiv/"
"narrow","""""a.狭窄的,狭的,狭隘的""""","","/'nærəu/"
"nation","""""n.民族,国家""""","","/'neiʃən/"
"national","""""a.民族的,国家的,国立的""""","","/'næʃənəl/"
"native","""""a.本地的,本国的;天生的 n.本地人,本国人""""","","/'neitiv/"
"natural","""""a.正常的;自然界的,天然的,天赋的,固有的""""","","/'nætʃərəl/"
"nature","""""n.自然界,大自然;性质,本性,天性""""","","/'neitʃə/"
"naughty","""""a.顽皮的,淘气的""""","","/'nɔ:ti/"
"naval","""""n.海军的,军舰的""""","","/'neivəl/"
"navy","海军","n.","/'neivi/"
"near","近的，接近的；亲近的 prep.靠近 ad.接近","a.","/niə/"
"nearby","附近的 ad.在附近 prep.在…附近","a.","/'niə'bai/"
"nearly","""""ad.差不多,几乎""""","","/'niəli/"
"neat","""""a.整洁的,干净的,优美的,精致的""""","","/ni:t/"
"necessary","""""a.必需的,必要的;必然的 n.必需品""""","","/'nesisəri/"
"neck","颈脖","n.","/nek/"
"necklace","项链，项圈","n.","/'neklis/"
"need","/v.需要；必须 n.需要；贫困，困窘","aux.v.","/ni:d/"
"needle","""""n.针,指针,针状物""""","","/'ni:dl/"
"negative","""""a.否定的,消极的,阴性的n.负数;(摄影)底片""""","","/'neɡətiv/"
"neglect","""""v./n.忽视;疏忽,漏做,忽略""""","","/ni'ɡlekt/"
"negligible","可忽略不计的，微不足道的","a.","/'neɡlidʒəbl/"
"neighbor","(neighbour)邻居","n.","/'neibə/"
"neighborhood","""""n.(neighbourhood)邻居;四邻,街道""""","","/'neibəhud/"
"nerve","""""n.神经;勇敢,胆量""""","","/nə:v/"
"nervous","""""a.神经的;神经过敏的,紧张不安的""""","","/'nə:vəs/"
"nest","""""n.窝,巢 v.筑巢""""","","/nest/"
"net","""""n.网,网状物 v.用网捕,使落网 a.纯净的""""","","/net/"
"network","""""n.网状物;广播网,电视网;网络""""","","/'netwə:k/"
"neutral","""""a.中立的;中性的,中和的""""","","/'nju:trəl/"
"never","永不，从不，决不；从来没有；不，没有","ad.","/'nevə/"
"next","紧接的，其次的；贴近的 ad.其次；居后","a.","/nekst/"
"nice","美好的，令人愉快的；友好的，亲切的","a.","/nais/"
"nickel","镍;镍币;五美分","n.","/'nikəl/"
"nickname","绰号，浑名vt.给…起绰号","n.","/'nikneim/"
"niece","""""n.侄女,甥女""""","","/ni:s/"
"night","夜间；夜；晚(上)","n.","/nait/"
"nightmare","恶梦；可怕的事物，无法摆脱的恐惧","n.","/'naitmεə/"
"nine","九 pron./ad.九(个，只...)","num.","/nain/"
"ninety","九十，九十个","num.","/'nainti/"
"nitrogen","[化]氮","n.","/'naitrədʒən/"
"no","不是，不 a.没有的；不允许 n.不，拒绝","ad.","/nəu/"
"noble","""""a.高尚的;贵族的,高贵的 n.贵族""""","","/'nəubl/"
"nod","""""v.点(头),点头招呼 n.点头招呼;打盹,瞌睡""""","","/nɔd/"
"noise","""""n.喧闹声,噪声,吵嚷声""""","","/nɔiz/"
"noisy","""""a.吵闹的,喧闹的""""","","/'nɔizi/"
"nominal","""""a.名义上的;(金额,租金)微不足道的""""","","/'nɔminəl/"
"nominate","""""v.提名,任命""""","","/'nɔmineit/"
"none","没有任何人(东西)；都不 ad.一点也不","pron.","/nʌn/"
"nonsense","""""n.胡说,废话""""","","/'nɔnsəns/"
"noodle","(常用复数)面条","n.","/'nu:dl/"
"noon","中午，正午","n.","/nu:n/"
"norm","""""n.准则,规范,准则,平均数""""","","/nɔ:m/"
"normal","""""a.正常的,普通的;正规的,标准的""""","","/'nɔ:məl/"
"north","""""n.北,北方a.北方的,北部 ad.向北方,在北方""""","","/nɔ:θ/"
"nose","""""n.鼻子;(飞机,船等的)前端,突出部分""""","","/nəuz/"
"not","不，不是，不会；没有","ad.","/nɔt/"
"notable","""""n.值得注意的,显著的,著名的""""","","/'nəutəbl/"
"note","""""n.笔记;按语,注释;钞票,纸币v.记下,摘下""""","","/nəut/"
"notebook","笔记本","n.","/'nəutbuk/"
"nothing","没有东西；什么也没有；无关紧要的人或事","n.","/'nʌθiŋ/"
"notice","""""n.通知,通告,布告;注意,认识v.注意到,注意""""","","/'nəutis/"
"noticeable","""""a.显而易见的,值得注意的,重要的""""","","/'nəutisəbl/"
"notify","""""v.通知,告知,报告""""","","/'nəutifai/"
"notion","""""n.概念,想法,意念,看法,观点""""","","/'nəuʃən/"
"notorious","""""a.臭名昭著的,声名狼藉的""""","","/nəu'tɔ:riəs/"
"noun","名词","n.","/naun/"
"novel","""""n.(长篇)小说 a.新奇的,新颖的""""","","/'nɔvəl/"
"novelty","""""n.新奇,新颖,新奇的事物""""","","/'nɔvəlti/"
"now","现在，如今，目前；当时，于是，然后","ad.","/nau/"
"nowadays","""""ad.现今,现在""""","","/'nauədeiz/"
"nowhere","""""ad.任何地方都不,没有地方""""","","/'nəuhwεə/"
"nucleus","""""n.(pl.nuclei)核,核心,原子核""""","","/'nju:kliəs/"
"nuisance","讨厌的人(或东西);麻烦事","n.","/'nju:səns/"
"numb","""""a.麻木的,失去感觉的 v.使麻木""""","","/nʌm/"
"number","""""n.数,数字,数量,号码,一群 v.共计,编号""""","","/'nʌmbə/"
"numerical","数字的，用数字表示的，数值的","a.","/nju:'merikəl/"
"numerous","""""a.众多的,许多的,大批的""""","","/'nju:mərəs/"
"nurse","""""n.护士,保姆 v.护理,看护""""","","/nə:s/"
"nursery","托儿所","n.","/'nə:səri/"
"nurture","""""n./v.养育,教育,教养 n.营养品v.给与营养物""""","","/'nə:tʃə/"
"nut","""""n.坚果;螺母,螺帽""""","","/nʌt/"
"nutrition","""""n.营养,营养学""""","","/nju:'triʃən/"
"nylon","尼龙","n.","/'nailɔn/"
"oak","""""n.橡树,橡木 a.橡木的""""","","/əuk/"
"oath","""""n.誓言,誓约,诅咒""""","","/əuθ/"
"obedience","""""n.服从,顺从""""","","/əu'bi:diəns/"
"obedient","""""a.服从的,顺从的""""","","/əu'bi:diənt/"
"obey","""""v.服从, 顺从""""","","/əu'bei/"
"object","""""n.物体;客体,对象;目标;宾语 v.(to)反对""""","","/'ɔbdʒikt/"
"oblige","""""v.强迫,迫使;责成;(使)感激,施恩于""""","","/ə'blaidʒ/"
"observe","""""v.观察,观测,注意到,监视,遵守,评述,说""""","","/əb'zə:v/"
"obstacle","""""n.障碍(物),妨碍,阻碍,干扰""""","","/'ɔbstəkl/"
"obvious","""""a.明显的,显而易见的""""","","/'ɔbviəs/"
"occupy","""""v.占,占用;占据,占领;使忙碌,使从事""""","","/'ɔkjupai/"
"occur","""""v.发生,出现;存在;想起,想到""""","","/ə'kə:/"
"ocean","海洋","n.","/'əuʃən/"
"odd","奇数的;奇怪的;单只的;临时的;带零头的","a.","/ɔd/"
"odds","""""n.不平等,差异;机会""""","","/ɔdz/"
"odor","""""n.(odour)气味,香味,臭味,名声""""","","/'əudə/"
"offend","""""v.犯罪,冒犯,违反,得罪,使...不愉快""""","","/ə'fend/"
"offensive","""""a.冒犯的,攻击的 n.攻势,进攻""""","","/ə'fensiv/"
"oil","油，石油 v.给…加润滑油；涂油，上油","n.","/ɔil/"
"old","年老的；…岁的；长时间的，老的；过去的","a.","/əuld/"
"omit","""""v.省略,删去;遗漏,忽略""""","","/əu'mit/"
"once","一次，曾经 conj.一(旦)…就… n.一次","ad.","/wʌns/"
"one","一 pron.一个(只)(表示代替可数的东西)","num.","/wʌn/"
"onion","洋葱","n.","/'ʌnjən/"
"only","仅仅，只不过 a.唯一的 conj.可是，不过","ad.","/'əunli/"
"opaque","""""a.不透明(光)的;难理解的,晦涩的""""","","/əu'peik/"
"open","""""n.公开,户外 a.开的,开放的 v.开""""","","/'əupən/"
"opening","""""n.开,开放,开始,空缺,机会 a.开始的,开幕的""""","","/'əupəniŋ/"
"opera","歌剧","n.","/'ɔpərə/"
"operate","""""v.操作,运转,开动,起作用,动手术""""","","/'ɔpəreit/"
"operator","""""n.操作人员,(电话)接线员""""","","/'ɔpəreitə/"
"opinion","""""n.意见,看法,主张""""","","/ə'pinjən/"
"opponent","""""n.对手,反对者,敌手 a.对立的,对抗的""""","","/ə'pəunənt/"
"oppose","""""v.反对,使对立,使对抗,使相对""""","","/ə'pəuz/"
"oppress","""""v.压迫,压制""""","","/ə'pres/"
"opt","抉择，选择","vi.","/ɔpt/"
"optical","""""a.眼的,视力的;光学的""""","","/'ɔptikəl/"
"optimum","最适宜的 n.最适宜(条件)","a.","/'ɔptiməm/"
"option","""""n.选择(权),[商]选择买卖的特权""""","","/'ɔpʃən/"
"optional","""""a.可以任选的,随意的,非强制的""""","","/'ɔpʃənəl/"
"orbit","轨道 v.(使)沿轨道行","n.","/'ɔ:bit/"
"orchard","""""n.果园,果园里的全部果树,<美俚>棒球场""""","","/'ɔ:tʃəd/"
"order","""""n.命令;次序;整齐;定货单;等级 v.定制,订购""""","","/'ɔ:də/"
"orderly","""""a.整齐的,有秩序的,有条理的 n.勤务兵""""","","/'ɔ:dəli/"
"ore","""""n.矿石,矿砂""""","","/ɔ:/"
"organ","""""n.器官;机构,机关;风琴""""","","/'ɔ:ɡən/"
"organic","器官的;有机的;有机体的","a.","/ɔ:'ɡænik/"
"organism","生物，有机体","n.","/'ɔ:ɡənizəm/"
"organize","""""v.(organise)组织,编组""""","","/'ɔ:ɡənaiz/"
"original","""""a.最初的,原文的;新颖的 n.原物,原作,原文""""","","/ə'ridʒənəl/"
"originate","""""v.(in,from)起源,发生;首创,创造""""","","/ə'ridʒəneit/"
"orphan","孤儿","n.","/'ɔ:fən/"
"orthodox","""""a.传统的,正统的,习惯的,保守的,东正教的""""","","/'ɔ:θədɔks/"
"other","另外的，其他的 n./pron.另一个人(或事)","a.","/'ʌðə/"
"otherwise","""""ad.另样,用别的方法;在其他方面conj.要不然""""","","/'ʌðəwaiz/"
"ought","""""aux.应该(使用时,之后应接to,再接动词原形)""""","","/ɔ:t/"
"ounce","""""n.盎司,英两""""","","/auns/"
"out","出去；离家；突出来 a.外面的，往外去的","ad.","/aut/"
"outcome","""""n.结果,成果""""","","/'autkʌm/"
"outdoor","""""a.室外的,野外的""""","","/'əutdɔ:/"
"outer","""""a.外部的,外面的,外层的""""","","/'autə/"
"outfit","""""n.用具,机构,全套装配 v.配备,(得到)装备""""","","/'autfit/"
"outing","""""n.外出,旅行,散步""""","","/'autiŋ/"
"outline","""""n.轮廓,略图;大纲,梗概 v.概述,略述""""","","/'autlain/"
"outrage","""""n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸""""","","/'autreidʒ/"
"outset","""""n.开始,开端""""","","/'autset/"
"outward","""""a.外面的,公开的,向外的ad.向外,在外n.外表""""","","/'autwəd/"
"oval","卵形的，椭圆形的 n.卵形，椭圆形","a.","/'əuvəl/"
"oven","""""n.炉,灶,灶箱""""","","/'ʌvən/"
"over","在上方；遍及地 prep.在的上方 a.结束的","ad.","/'əuvə/"
"overcoat","""""n.外衣,大衣""""","","/'əuvəkəut/"
"overseas","""""a.外国的,海外的 ad.在海外""""","","/'əuvə'si:z/"
"overtime","""""a.超时的,加班的 ad.加班""""","","/'əuvətaim/"
"owe","""""v.欠(债等),应向…付出,归功于,得感谢""""","","/əu/"
"owing","""""a.欠的,未付的""""","","/'əuiŋ/"
"owl","猫头鹰","n.","/aul/"
"own","(用在所有格后面，加强语气)自己的","a.","/əun/"
"owner","""""n.物主,所有者""""","","/'əunə/"
"ownership","""""n.所有(权),所有制""""","","/'əunəʃip/"
"ox","""""n.牛,公牛""""","","/ɔks/"
"oxygen","""""n.氧,氧气""""","","/'ɔksidʒən/"
"ozone","臭氧；(海岸等的)新鲜空气","n.","/'əuzəun/"
"pack","""""v.捆扎,打包;塞满,挤满n.包裹,背包,一群/副""""","","/pæk/"
"package","""""n.包装,包裹,箱,包装费,标准部件,成套设备""""","","/'pækidʒ/"
"packet","""""n.小包裹,小捆;盒;一捆,一扎;邮船,班轮""""","","/'pækit/"
"pact","""""n.合同,条约,公约,协定""""","","/pækt/"
"pad","""""n.垫,衬垫;便笺簿 v.加上衬垫""""","","/pæd/"
"paddle","桨 v.用桨划","n.","/'pædl/"
"page","""""n.页,记录,事件,专栏 vt.给...标页码""""","","/peidʒ/"
"pail","""""n.桶, 提桶; 一桶的量""""","","/peil/"
"pain","""""n.痛,痛苦;(pl.)努力,劳苦 vt.使痛苦""""","","/pein/"
"painful","""""a.疼痛的,使痛苦的,费力[心]的,棘手的""""","","/'peinfl/"
"paint","""""n.油漆,颜料 v.油漆;涂,涂漆;画;描绘,描述""""","","/peint/"
"painter","""""n.漆工,画家""""","","/'peintə/"
"painting","""""n.上油漆,着色;绘画;油画;画法""""","","/'peintiŋ/"
"pair","""""n.一对,一双;一副;夫妇 v.配对,成对""""","","/pεə/"
"palace","""""n.宫,宫殿""""","","/'pælis/"
"pale","""""a.苍白的,灰白的;浅的,暗淡的""""","","/peil/"
"palm","""""n.手掌,掌状物,棕榈vt.与…握手,藏…于掌中""""","","/pɑ:m/"
"pamphlet","小册子","n.","/'pæmflit/"
"pan","""""n.平底锅,盘子,面板""""","","/pæn/"
"panda","熊猫","n.","/'pændə/"
"panel","""""n.面,板;控制板,仪表盘;专门小组""""","","/'pænl/"
"panic","""""n./a.恐慌(的),惊慌(的) vt.使惊慌,使害怕""""","","/'pænik/"
"pant","""""n.喘气 v.喘,气喘吁吁地说""""","","/pænt/"
"pants","""""n.裤子, 短裤""""","","/pænts/"
"paper","纸；纸制品；报纸；(pl)文件；试卷；论文","n.","/'peipə/"
"paperback","平装本，简装本","n.","/'peipəbæk/"
"parade","""""n./v.游行,夸耀n.检阅,阅兵式v.使列队行进""""","","/pə'reid/"
"paradigm","典范; 范例; 示例","n.","/'pærədim/"
"paradox","""""n.似非而是的话,自相矛盾的话,反论""""","","/'pærədɔks/"
"parallel","""""a.平行的,相同的,类似的n.平行线,类似,对比""""","","/'pærəlel/"
"paralyze","(paralyse)使瘫痪(麻痹);使丧失作用","v.","/'pærəlaiz/"
"parameter","""""n.参数,参量""""","","/pə'ræmitə/"
"parasite","""""n.寄生虫,食客""""","","/'pærəsait/"
"parcel","""""n.包裹,邮包,部分 v.打包,捆扎,分配""""","","/'pɑ:sl/"
"pardon","""""n.原谅,宽恕;请再说一遍 v.原谅,饶恕,赦免""""","","/'pɑ:dn/"
"parent","""""n.父母,母亲;(pl.)双亲;父母""""","","/'pεərənt/"
"park","""""n.公园,停车场,运动场 v.停放(汽车等),寄放""""","","/pɑ:k/"
"parliament","""""n.国会,议会""""","","/'pɑ:ləmənt/"
"part","""""n.部分,角色,一方,零件,地区,部,篇v.使分开""""","","/pɑ:t/"
"partial","""""a.部分的,不完全的;偏袒的,不公平的,偏爱的""""","","/'pɑ:ʃəl/"
"participant","""""n.参加者,参与者 a.有份的,参与的""""","","/pɑ:'tisipənt/"
"participate","""""v.(in)参与,参加;分享,分担;含有,带有""""","","/pɑ:'tisipeit/"
"particle","""""n.粒子,微粒;极小量;小品词,虚词""""","","/'pɑ:tikl/"
"particular","""""a.特殊的,苛求的,个别的n.详情,细节,特色""""","","/pə'tikjulə/"
"partly","""""ad.部分地,不完全地,在一定程度上""""","","/'pɑ:tli/"
"partner","""""n.合作者,合伙人,合股人,伙伴,舞伴,配偶""""","","/'pɑ:tnə/"
"party","""""n.聚会,政党,当事人 v.举行(参加)社交聚会""""","","/'pɑ:ti/"
"passage","""""n.通过,经过;通路,走廊;(一)段落,(一)节""""","","/'pəsidʒ/"
"passenger","""""n.乘客,旅客""""","","/'pæsindʒə/"
"passion","""""n.热情,激情,爱好;激怒;强烈感情""""","","/'pæʃən/"
"passive","""""a.被动的,消极的""""","","/'pæsiv/"
"paste","""""n.糊,浆糊 v.粘,贴""""","","/peist/"
"pastime","""""n.消遣,娱乐""""","","/'pɑ:staim/"
"pat","""""v./n.轻拍,轻打,抚摸""""","","/pæt/"
"patch","""""n.补丁,斑点,碎片小块 v.补,修补,掩饰""""","","/pætʃ/"
"patent","""""a.专利的,特许的n.专利(权、品)v.批准专利""""","","/'peitənt/"
"pathetic","""""a.可怜的, 悲惨的""""","","/pə'θetik/"
"patience","""""n.耐心,忍耐""""","","/'peiʃəns/"
"patient","""""a.有耐心的,能忍耐的 n.病人,患者""""","","/'peiʃənt/"
"patrol","巡逻，巡查 n.巡逻，巡查；巡逻队","v.","/pə'trəul/"
"patron","赞助人；资助人；老顾客，老主顾","n.","/'peitrən/"
"pattern","""""n.模式,式样;图案,图样 v.仿制,模仿""""","","/'pætən/"
"pause","""""v./n.中止,暂停""""","","/pɔ:z/"
"pave","""""v.铺砌,铺(路)""""","","/peiv/"
"pavement","人行道","n.","/'peivmənt/"
"paw","爪","n.","/pɔ:/"
"pay","""""v.付款,付出代价,给予注意 n.工资,薪金""""","","/pei/"
"payment","""""n.支付,付款额""""","","/'peimənt/"
"pea","豌豆","n.","/pi:/"
"peace","""""n.和平;平静,安宁""""","","/pi:s/"
"peaceful","""""a.和平的,平静的,安宁的,爱好和平的""""","","/'pi:sful/"
"peach","""""n.桃,桃树""""","","/pi:tʃ/"
"peak","""""n.山顶,最高点;峰,山峰 a.高峰的,最高的""""","","/pi:k/"
"peanut","花生","n.","/'pi:nʌt/"
"pear","""""n.梨子,梨树""""","","/pεə/"
"pearl","珍珠","n.","/pə:l/"
"peasant","(不用于英国或美国)小农;佃农;农民","n.","/'pezənt/"
"pebble","卵石","n.","/'pebl/"
"peculiar","""""a.古怪的,异常的;特殊的,特有的""""","","/pi'kju:ljə/"
"pedal","""""n.踏板 v.踩踏板,骑自行车""""","","/'pedl/"
"pedestrian","""""n.步行者 a.徒步的,呆板的,通俗的""""","","/pi'destriən/"
"peel","""""v.削皮,剥皮 n.果皮""""","","/pi:l/"
"peep","""""v.偷看,窥视""""","","/pi:p/"
"peer","""""n.同辈,同等地位的人;贵族 v.凝视,隐约出现""""","","/piə/"
"pen","""""n.钢笔,圆珠笔,作家,围栏 vt.写,关入栏中""""","","/pen/"
"penalty","""""n.处罚,刑罚,惩罚,罚金""""","","/'penəlti/"
"pencil","铅笔 vt.用铅笔写","n.","/'pensəl/"
"penetrate","""""v.穿过,渗入,看穿""""","","/'penitreit/"
"peninsula","半岛","n.","/pi'ninsjulə/"
